archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	4	4	0	1.000000
correctness	correctness	1	3	3	0	1.000000
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
testing	risk-integration	1	4	4	0	1.000000
dyn-absorbed-tail-state-machine	correctness	1	2	2	0	1.000000
dyn-absorbed-tail-state-machine-codex	correctness	1	0	0	0	n/a
dyn-apply-interface-backward-compat	risk-integration	1	2	1	0	0.500000
dyn-apply-interface-backward-compat-codex	risk-integration	1	0	0	0	n/a
dyn-dep-pipeline-input-integrity	architecture	1	1	1	0	1.000000
dyn-dep-pipeline-input-integrity-codex	architecture	1	0	0	0	n/a
