relative_path	condition	batch_slug	extension
manifest.json	always	manifest	json
plan-goals-test.md	always	plan-goals-test	md
plan-review-tally.json	always	plan-review-tally	json
code-review-tally.json	always	code-review-tally	json
review-findings-full.jsonl	always	review-findings-full	jsonl
version-bump-reasoning.md	always	version-bump-reasoning	md
token-report.json	always	token-report	json
timing-report.json	always	timing-report	json
execution-issues.ndjson	always	execution-issues	ndjson
run-statistics.json	always	run-statistics	json
session-transcript.jsonl	always	session-transcript	jsonl
