cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-edge	Cursor-Edge
codex-plan-edge	Codex-Edge
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-cli-allowlist-contract	Cursor-dyn-cli-allowlist-contract
dyn-codex-plan-cli-allowlist-contract	Codex-dyn-cli-allowlist-contract
dyn-cursor-plan-fallback-reentry-invariant	Cursor-dyn-fallback-reentry-invariant
dyn-codex-plan-fallback-reentry-invariant	Codex-dyn-fallback-reentry-invariant
dyn-cursor-plan-voter-caller-surface	Cursor-dyn-voter-caller-surface
dyn-codex-plan-voter-caller-surface	Codex-dyn-voter-caller-surface
