archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	6	5	1	0.833333
correctness	correctness	1	10	10	0	1.000000
edge-cases	correctness	1	9	8	0	0.888889
edge-cases	correctness	1	8	7	0	0.875000
testing	risk-integration	1	9	7	1	0.777778
testing	risk-integration	1	4	4	0	1.000000
dyn-wire-contracts	architecture	1	5	4	0	0.800000
dyn-wire-contracts-codex	architecture	1	0	0	0	n/a
dyn-quiet-routing	risk-integration	1	3	3	0	1.000000
dyn-quiet-routing-codex	risk-integration	1	0	0	0	n/a
dyn-cli-registry	code-quality	1	2	2	0	1.000000
dyn-cli-registry-codex	code-quality	1	0	0	0	n/a
