archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	0	3	0.000000
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	4	3	1	0.750000
testing	risk-integration	1	3	2	1	0.666667
dyn-shell-cleanup	code-quality	1	1	0	1	0.000000
dyn-shell-cleanup-codex	code-quality	1	0	0	0	n/a
dyn-kv-protocol	architecture	1	4	1	3	0.250000
dyn-kv-protocol-codex	architecture	1	0	0	0	n/a
dyn-generated-alignment	correctness	1	3	0	1	0.000000
dyn-generated-alignment-codex	correctness	1	0	0	0	n/a
