archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	0	2	0.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	6	0	6	0.000000
testing	risk-integration	1	0	0	0	n/a
dyn-step5c-recovery	correctness	1	2	0	2	0.000000
dyn-step5c-recovery-codex	correctness	1	0	0	0	n/a
dyn-skip-validate-precondition	risk-integration	1	1	0	1	0.000000
dyn-skip-validate-precondition-codex	risk-integration	1	0	0	0	n/a
