archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	1	1	0.333333
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	3	0	2	0.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	4	0	2	0.000000
testing	risk-integration	1	0	0	0	n/a
dyn-summary-marker	correctness	1	3	1	0	0.333333
dyn-summary-marker-codex	correctness	1	0	0	0	n/a
dyn-step5-compat	risk-integration	1	4	0	1	0.000000
dyn-step5-compat-codex	risk-integration	1	0	0	0	n/a
