archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	4	4	0	1.000000
edge-cases	correctness	1	5	3	2	0.600000
edge-cases	correctness	1	4	4	0	1.000000
testing	risk-integration	1	1	0	0	0.000000
testing	risk-integration	1	3	3	0	1.000000
dyn-python-bash-parity	architecture	1	3	1	2	0.333333
dyn-python-bash-parity-codex	architecture	1	0	0	0	n/a
dyn-json-stdout-contract	risk-integration	1	3	1	2	0.333333
dyn-json-stdout-contract-codex	risk-integration	1	0	0	0	n/a
