cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-stale-reference-sweeper	Cursor-dyn-stale-reference-sweeper
dyn-codex-plan-stale-reference-sweeper	Codex-dyn-stale-reference-sweeper
dyn-cursor-plan-checks-port-parity	Cursor-dyn-checks-port-parity
dyn-codex-plan-checks-port-parity	Codex-dyn-checks-port-parity
dyn-cursor-plan-security-boundary-reviewer	Cursor-dyn-security-boundary-reviewer
dyn-codex-plan-security-boundary-reviewer	Codex-dyn-security-boundary-reviewer
