cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-stdout-kv-fidelity	Cursor-dyn-stdout-kv-fidelity
dyn-codex-plan-stdout-kv-fidelity	Codex-dyn-stdout-kv-fidelity
dyn-cursor-plan-ci-retarget-coverage	Cursor-dyn-ci-retarget-coverage
dyn-codex-plan-ci-retarget-coverage	Codex-dyn-ci-retarget-coverage
