site	attempt	redacted_bytes	digest_bytes	redacted_tokens	digest_tokens	saved_bytes	saved_tokens	digest_truncated
step3	1	158551	673	39638	169	157878	39469	false
step3	2	12302	262	3076	66	12040	3010	false
step3	3	12148	262	3037	66	11886	2971	false
step3	4	12302	262	3076	66	12040	3010	false
step3	5	12302	262	3076	66	12040	3010	false
step3	6	12015	262	3004	66	11753	2938	false
step3	7	11459	530	2865	133	10929	2732	false
step3	8	10340	473	2585	119	9867	2466	false
step3	9	9320	265	2330	67	9055	2263	false
step3	10	7439	524	1860	131	6915	1729	false
step6	1	206140	685	51535	172	205455	51363	false
step6	2	203669	584	50918	146	203085	50772	false
step6	3	201895	488	50474	122	201407	50352	false
step6	4	201625	488	50407	122	201137	50285	false
step6	5	68139	263	17035	66	67876	16969	false
step6	6	68139	263	17035	66	67876	16969	false
step6	7	68139	263	17035	66	67876	16969	false
step3	12	68139	263	17035	66	67876	16969	false
step6	8	201613	592	50404	148	201021	50256	false
step6	9	67771	263	16943	66	67508	16877	false
step6	10	67912	368	16978	92	67544	16886	false
