cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-interface-contract	Cursor-dyn-interface-contract
dyn-codex-plan-interface-contract	Codex-dyn-interface-contract
dyn-cursor-plan-codex-stamp-coverage	Cursor-dyn-codex-stamp-coverage
dyn-codex-plan-codex-stamp-coverage	Codex-dyn-codex-stamp-coverage
dyn-cursor-plan-test-stub-feasibility	Cursor-dyn-test-stub-feasibility
dyn-codex-plan-test-stub-feasibility	Codex-dyn-test-stub-feasibility
