cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-escalation-ownership	Cursor-dyn-escalation-ownership
dyn-codex-plan-escalation-ownership	Codex-dyn-escalation-ownership
dyn-cursor-plan-tier-data-containment	Cursor-dyn-tier-data-containment
dyn-codex-plan-tier-data-containment	Codex-dyn-tier-data-containment
dyn-cursor-plan-cross-surface-parity	Cursor-dyn-cross-surface-parity
dyn-codex-plan-cross-surface-parity	Codex-dyn-cross-surface-parity
