archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	1	0	0.142857
correctness	correctness	1	4	2	1	0.500000
testing	risk-integration	1	3	2	0	0.666667
security	security	1	2	1	0	0.500000
edge-cases	correctness	1	5	4	1	0.800000
plan-fidelity	architecture	1	2	2	0	1.000000
dyn-gh-cli-contracts	risk-integration	1	2	2	0	1.000000
dyn-merge-head-sync	correctness	1	0	0	0	n/a
dyn-runlog-cleanliness	risk-integration	1	0	0	0	n/a
dyn-python311-compat	code-quality	1	1	1	0	1.000000
dyn-stdout-protocol	architecture	1	2	2	0	1.000000
dyn-shell-sete-routing	correctness	1	0	0	0	n/a
