codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-caller-env	Cursor-dyn-caller-env
dyn-codex-plan-caller-env	Codex-dyn-caller-env
dyn-cursor-plan-regex-parity	Cursor-dyn-regex-parity
dyn-codex-plan-regex-parity	Codex-dyn-regex-parity
dyn-cursor-plan-ref-sweep-scope	Cursor-dyn-ref-sweep-scope
dyn-codex-plan-ref-sweep-scope	Codex-dyn-ref-sweep-scope
