archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	6	2	4	0.333333
correctness	correctness	1	3	2	1	0.666667
edge-cases	correctness	1	2	2	0	1.000000
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
dyn-merge-log-path	risk-integration	1	3	2	1	0.666667
dyn-merge-log-path-codex	risk-integration	1	0	0	0	n/a
dyn-manifest-reconcile	correctness	1	3	3	0	1.000000
dyn-manifest-reconcile-codex	correctness	1	0	0	0	n/a
dyn-audit-tolerance	correctness	1	2	2	0	1.000000
dyn-audit-tolerance-codex	correctness	1	0	0	0	n/a
