archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	1	1	0.500000
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	2	0	1	0.000000
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	1	0	0	0.000000
testing	risk-integration	1	0	0	0	n/a
dyn-scrub-boundary	security	1	1	1	0	1.000000
dyn-scrub-boundary-codex	security	1	0	0	0	n/a
dyn-tally-parity	correctness	1	0	0	0	n/a
dyn-tally-parity-codex	correctness	1	0	0	0	n/a
